date,scope,anomaly_30d_pct,spi_3,spi_6,rainfall_risk_points,risk_level,risk_basis,assessment
2026-08-30,carbon_project_zone,-99.9455,,,4.0000,high,provisional,Rainfall-only climate risk; add NDMI and fire indicators for full operational risk.
2026-08-30,project_area,-99.9773,,,4.0000,high,provisional,Rainfall-only climate risk; add NDMI and fire indicators for full operational risk.
