year,month,scope,rainfall_mm,source
1987,8,carbon_project_zone,70.6227,UCSB-CHG/CHIRPS/DAILY
1987,9,carbon_project_zone,74.7927,UCSB-CHG/CHIRPS/DAILY
1987,10,carbon_project_zone,66.0206,UCSB-CHG/CHIRPS/DAILY
1987,11,carbon_project_zone,241.7277,UCSB-CHG/CHIRPS/DAILY
1987,12,carbon_project_zone,294.7810,UCSB-CHG/CHIRPS/DAILY
1988,1,carbon_project_zone,262.8892,UCSB-CHG/CHIRPS/DAILY
1988,2,carbon_project_zone,263.7874,UCSB-CHG/CHIRPS/DAILY
1988,3,carbon_project_zone,378.5973,UCSB-CHG/CHIRPS/DAILY
1988,4,carbon_project_zone,278.3986,UCSB-CHG/CHIRPS/DAILY
1988,5,carbon_project_zone,305.3972,UCSB-CHG/CHIRPS/DAILY
1988,6,carbon_project_zone,197.1971,UCSB-CHG/CHIRPS/DAILY
1988,7,carbon_project_zone,106.5940,UCSB-CHG/CHIRPS/DAILY
1988,8,carbon_project_zone,329.7004,UCSB-CHG/CHIRPS/DAILY
1988,9,carbon_project_zone,290.4556,UCSB-CHG/CHIRPS/DAILY
1988,10,carbon_project_zone,319.2489,UCSB-CHG/CHIRPS/DAILY
1988,11,carbon_project_zone,263.9717,UCSB-CHG/CHIRPS/DAILY
1988,12,carbon_project_zone,362.1435,UCSB-CHG/CHIRPS/DAILY
1989,1,carbon_project_zone,313.6581,UCSB-CHG/CHIRPS/DAILY
1989,2,carbon_project_zone,267.8720,UCSB-CHG/CHIRPS/DAILY
1989,3,carbon_project_zone,305.2982,UCSB-CHG/CHIRPS/DAILY
1989,4,carbon_project_zone,201.6564,UCSB-CHG/CHIRPS/DAILY
1989,5,carbon_project_zone,297.4712,UCSB-CHG/CHIRPS/DAILY
1989,6,carbon_project_zone,145.3935,UCSB-CHG/CHIRPS/DAILY
1989,7,carbon_project_zone,205.9490,UCSB-CHG/CHIRPS/DAILY
1989,8,carbon_project_zone,208.5172,UCSB-CHG/CHIRPS/DAILY
1989,9,carbon_project_zone,238.7585,UCSB-CHG/CHIRPS/DAILY
1989,10,carbon_project_zone,299.3446,UCSB-CHG/CHIRPS/DAILY
1989,11,carbon_project_zone,279.4927,UCSB-CHG/CHIRPS/DAILY
1989,12,carbon_project_zone,197.4133,UCSB-CHG/CHIRPS/DAILY
1990,1,carbon_project_zone,230.5275,UCSB-CHG/CHIRPS/DAILY
1990,2,carbon_project_zone,248.6101,UCSB-CHG/CHIRPS/DAILY
1990,3,carbon_project_zone,320.7652,UCSB-CHG/CHIRPS/DAILY
1990,4,carbon_project_zone,237.5180,UCSB-CHG/CHIRPS/DAILY
1990,5,carbon_project_zone,237.6416,UCSB-CHG/CHIRPS/DAILY
1990,6,carbon_project_zone,125.0315,UCSB-CHG/CHIRPS/DAILY
1990,7,carbon_project_zone,191.4430,UCSB-CHG/CHIRPS/DAILY
1990,8,carbon_project_zone,74.4541,UCSB-CHG/CHIRPS/DAILY
1990,9,carbon_project_zone,56.7400,UCSB-CHG/CHIRPS/DAILY
1990,10,carbon_project_zone,184.7407,UCSB-CHG/CHIRPS/DAILY
1990,11,carbon_project_zone,111.1759,UCSB-CHG/CHIRPS/DAILY
1990,12,carbon_project_zone,358.6870,UCSB-CHG/CHIRPS/DAILY
1991,1,carbon_project_zone,339.2177,UCSB-CHG/CHIRPS/DAILY
1991,2,carbon_project_zone,268.8187,UCSB-CHG/CHIRPS/DAILY
1991,3,carbon_project_zone,396.6450,UCSB-CHG/CHIRPS/DAILY
1991,4,carbon_project_zone,242.0300,UCSB-CHG/CHIRPS/DAILY
1991,5,carbon_project_zone,240.5742,UCSB-CHG/CHIRPS/DAILY
1991,6,carbon_project_zone,69.2012,UCSB-CHG/CHIRPS/DAILY
1991,7,carbon_project_zone,21.4038,UCSB-CHG/CHIRPS/DAILY
1991,8,carbon_project_zone,22.7559,UCSB-CHG/CHIRPS/DAILY
1991,9,carbon_project_zone,27.5915,UCSB-CHG/CHIRPS/DAILY
1991,10,carbon_project_zone,77.0827,UCSB-CHG/CHIRPS/DAILY
1991,11,carbon_project_zone,246.3126,UCSB-CHG/CHIRPS/DAILY
1991,12,carbon_project_zone,360.4418,UCSB-CHG/CHIRPS/DAILY
1992,1,carbon_project_zone,260.8675,UCSB-CHG/CHIRPS/DAILY
1992,2,carbon_project_zone,291.4615,UCSB-CHG/CHIRPS/DAILY
