month,day,scope,normal_mean_mm,normal_std_mm,p10_mm,p25_mm,median_mm,p75_mm,p90_mm,n_years
2,29,carbon_project_zone,8.771287114085485,1.9882517972672726,5.77174755838293,7.160849202410493,8.873278725254728,10.065461528030614,12.199370442909272,8
2,29,project_area,8.581639750816146,1.9797728447987062,5.7496443769230146,6.747948700547769,8.82299140623795,10.227108455218595,11.307376505597531,8
1,1,carbon_project_zone,9.178155993875311,7.045343839540477,1.755296854346371,4.319615067039936,7.781620829851226,13.333271529704858,18.42112063639906,30
1,1,project_area,9.124362340154685,7.11042198547436,0.9659697846014437,4.2382774303433335,7.209904885438998,12.654731149849797,18.687324628073192,30
1,2,carbon_project_zone,8.424514583403672,6.695386032787987,0.09382784299431282,3.156331197207071,7.544545479691023,10.39506081163624,19.54477427478305,30
1,2,project_area,8.557797367204198,6.871900501122677,0.0,3.540799231485152,7.815454894662455,10.680178404589098,19.807332726399228,30
1,3,carbon_project_zone,9.912543944441639,5.917813598323497,3.03358673373775,5.815886864818019,8.453224482081051,13.120453609358457,18.26327895010713,30
1,3,project_area,10.072050137662497,6.212745328624708,2.8801750115051474,6.251470548897201,8.880127453840752,13.501222994367957,19.19959912728088,30
1,4,carbon_project_zone,10.507072200429924,9.141739586515717,0.2087432779641644,4.040213425519136,9.124299408022551,15.227413075458903,20.500581785995706,30
1,4,project_area,10.567202215979638,9.56332346799338,0.09067482927179853,3.6524245470808174,8.908596323524673,16.075518026925018,20.47977829971373,30
1,5,carbon_project_zone,8.36389017234945,5.823449895086654,2.1224406228474684,3.7708511066367674,7.177911438336985,10.966410110546107,16.11298231277426,30
1,5,project_area,8.131541944309326,5.761799992319726,1.6188550748975694,3.7533434596377635,7.123561614742632,11.828777409297842,15.332700752146623,30
1,6,carbon_project_zone,7.958233920291368,5.980396194224157,1.9005246816232688,4.21375385956034,5.977924793483631,9.08154489598284,19.223495687653028,30
1,6,project_area,7.952042395923467,6.319589708688766,1.1569304811109564,3.987077007492078,5.936119490485347,9.591930070716906,20.705322884631638,30
1,7,carbon_project_zone,8.498957659598679,5.720441707291156,0.6236090350699989,5.742247000982021,7.924655781590101,11.29289771700189,17.019389304383864,30
1,7,project_area,8.477054964966449,5.89002546366551,0.24477555002380041,5.526125659193208,8.252704704487453,11.1812006152466,16.93298544777193,30
1,8,carbon_project_zone,9.401394646303897,6.112742254718487,2.748151954082912,4.236483603586342,7.973466547939286,13.441513029931349,17.229617224475106,30
1,8,project_area,9.270660337994023,6.154454169937936,2.702581988736551,4.045129059183948,8.469281834703747,13.370801991417157,17.111734756887056,30
1,9,carbon_project_zone,7.778348700608542,5.832051315647538,0.5533083341793821,1.8677433663722764,7.824925461726725,10.611005400367603,16.105555771524212,30
1,9,project_area,7.920382221992896,5.982177966732752,0.35033966525126314,1.831229428205358,8.013688298054213,11.25303253040108,15.571821866858354,30
1,10,carbon_project_zone,7.881231069134251,5.869446679511185,0.9781272474684166,2.61307171311975,6.567436530142469,13.39139854748685,17.203558899799305,30
1,10,project_area,7.913365692264554,5.771749381753011,0.9588281166480026,2.598809760597711,6.301116652775251,12.714167905698758,17.34021096953258,30
1,11,carbon_project_zone,7.662607390959087,7.387888142143248,0.10007990018850438,1.7659647468974708,4.729665844965587,12.909839836070546,18.119088442385863,30
1,11,project_area,7.8867296615425095,7.516606100197818,0.0,1.6925362004153721,4.672960645382871,14.562128533383918,17.433282909297795,30
1,12,carbon_project_zone,7.30785813334675,4.719243454009517,0.0,3.7829713670744107,7.2295590395360065,10.406992990063538,13.540045558168314,30
1,12,project_area,7.389393497866489,4.9037274951804894,0.0,4.625049454680945,6.93581385889847,11.052107280501966,14.26449360134789,30
1,13,carbon_project_zone,8.831575951550706,6.686107416297773,0.0,3.3737230962686655,8.013801072861064,15.661337290653147,17.120816973092147,30
1,13,project_area,8.955627850053185,7.081271189249375,0.0,1.9168157408527677,7.600898145802768,16.409212384642732,18.28765222701159,30
1,14,carbon_project_zone,7.292667075270443,4.971115958031508,0.6523501633580535,4.288458422251013,6.791386396705269,9.850558698206127,14.81028708225862,30
1,14,project_area,6.997841055970593,5.169735725069816,0.1747770838450945,2.445916945926948,6.7202965202978096,10.617270914174744,14.185875062215128,30
1,15,carbon_project_zone,8.469275569565493,6.466946776772507,1.28669137317304,2.667064471696621,7.433223899091004,12.408340021101795,15.412614702583415,30
1,15,project_area,8.329616071039675,6.4418823787014,0.48130731911431485,3.5854472772366086,7.599249835558041,12.25094762421536,15.40579466496484,30
1,16,carbon_project_zone,7.646906806088004,5.966990632318753,0.5234076800774,3.549974712114789,6.722729501987574,10.220811713952944,16.16484845807406,30
1,16,project_area,7.602004922754224,6.042945867437542,0.49972685716919985,3.058730213502523,6.631737281985937,10.648387661516578,16.15099310011636,30
1,17,carbon_project_zone,9.309452609335981,8.40223274907323,0.8692776901175714,4.044076572637629,7.652964391487268,12.122632512491966,17.407749053610825,30
1,17,project_area,9.103132835442308,8.297029398684087,0.6599578284794818,3.2850910111090803,7.7577145538638685,12.333513973673982,16.718713096183695,30
1,18,carbon_project_zone,7.6615859491950635,6.889257299677662,0.8199195135831641,2.508592883931364,6.843665067162265,9.76991896419359,14.75326852465651,30
1,18,project_area,7.880005892316807,7.196277802131301,0.3844579596916223,2.4040541496409102,6.909233453047846,10.660421247474954,15.261818229692922,30
1,19,carbon_project_zone,9.16841565460768,5.636087287668015,2.698934730115364,5.134003521470589,7.658843794146937,13.090806225343828,18.151525129118014,30
1,19,project_area,9.109070302326371,5.77097967147294,2.8455867209171846,5.194993781657728,7.193880384710426,12.694104460979283,18.354691273626088,30
1,20,carbon_project_zone,8.531689222539828,6.247792659028076,0.7258322446353194,5.361194313023521,8.535815994303078,11.813974578030116,12.627755448142985,30
1,20,project_area,8.410803535891365,6.288791747688413,0.03830461605855239,4.7114760183222675,8.985968494911223,11.385845800393904,12.730187465303299,30
1,21,carbon_project_zone,7.40664346184777,5.864806558389063,0.320990676936311,2.747291721615924,6.427340472412461,10.745141438097408,15.526205965448087,30
1,21,project_area,7.484918752185613,6.098526508175773,0.09906947658682826,2.7944844163070295,6.534407301704028,10.898709989108363,15.668419956058862,30
1,22,carbon_project_zone,8.00040702669637,6.704706270720609,0.2738869040316764,1.855832460392617,6.770245587570504,11.793379694727227,19.33452415955736,30
1,22,project_area,7.965583421609066,6.6569843685568,0.07583409093194089,2.1083955700481987,6.79526890766088,12.279065816905721,18.08149654857918,30
1,23,carbon_project_zone,6.255733801559417,4.392428862402456,0.9114456970590724,3.116318518941558,5.774584092460111,9.70168357101966,12.499441932449592,30
1,23,project_area,6.162411846426371,4.557214568427847,0.3867431663217824,2.1530174024299775,6.124884504474734,8.764877742905464,12.71954825185297,30
1,24,carbon_project_zone,9.682907116154007,5.975015673051168,2.8648289856252758,5.919271497330292,8.11721747460102,13.346562397996312,16.85859308657756,30
1,24,project_area,9.89971048106704,6.32443487894707,1.4765844504895675,6.343922671900692,8.318366353978359,13.507460749755474,18.772821728639503,30
1,25,carbon_project_zone,9.08188313493622,6.398920808070634,1.8369740280738829,4.3251259433073495,8.027537826734779,12.813682353394828,18.719705471227066,30
1,25,project_area,9.070028155487993,6.415659415998305,1.4968794920411428,4.343495152672561,7.549096743388243,12.705644610299167,19.14724611740083,30
1,26,carbon_project_zone,7.118981824213004,5.906456896445317,0.20784328229913693,1.3508490448584594,5.5189639044506595,11.53305826016698,16.970190019773373,30
1,26,project_area,7.3163790165138165,6.2229452324452845,0.0,1.7598199155554748,5.015386434705306,13.237532445205197,16.574371582370695,30
