year,month,scope,rainfall_mm,source,normal_mean_mm,anomaly_mm,anomaly_pct,period
2023,11,project_area,275.7349,UCSB-CHG/CHIRPS/DAILY,267.4471,8.2878,3.0989,1996-2025
2023,12,project_area,249.2223,UCSB-CHG/CHIRPS/DAILY,315.1390,-65.9167,-20.9167,1996-2025
2024,1,project_area,423.5165,UCSB-CHG/CHIRPS/DAILY,263.2860,160.2305,60.8580,1996-2025
2024,2,project_area,225.9740,UCSB-CHG/CHIRPS/DAILY,265.4516,-39.4776,-14.8719,1996-2025
2024,3,project_area,314.8293,UCSB-CHG/CHIRPS/DAILY,321.0672,-6.2379,-1.9429,1996-2025
2024,4,project_area,328.5519,UCSB-CHG/CHIRPS/DAILY,295.8380,32.7139,11.0580,1996-2025
2024,5,project_area,273.6027,UCSB-CHG/CHIRPS/DAILY,247.3949,26.2078,10.5935,1996-2025
2024,6,project_area,213.6234,UCSB-CHG/CHIRPS/DAILY,197.1824,16.4410,8.3380,1996-2025
2024,7,project_area,176.0857,UCSB-CHG/CHIRPS/DAILY,134.9247,41.1610,30.5066,1996-2025
2024,8,project_area,127.2513,UCSB-CHG/CHIRPS/DAILY,105.6728,21.5785,20.4201,1996-2025
2024,9,project_area,176.0848,UCSB-CHG/CHIRPS/DAILY,115.6745,60.4103,52.2244,1996-2025
2024,10,project_area,176.1979,UCSB-CHG/CHIRPS/DAILY,226.0494,-49.8515,-22.0534,1996-2025
2024,11,project_area,263.9075,UCSB-CHG/CHIRPS/DAILY,267.4471,-3.5396,-1.3235,1996-2025
2024,12,project_area,318.6037,UCSB-CHG/CHIRPS/DAILY,315.1390,3.4647,1.0994,1996-2025
2025,1,project_area,359.1102,UCSB-CHG/CHIRPS/DAILY,263.2860,95.8242,36.3955,1996-2025
2025,2,project_area,348.0825,UCSB-CHG/CHIRPS/DAILY,265.4516,82.6309,31.1284,1996-2025
2025,3,project_area,376.0921,UCSB-CHG/CHIRPS/DAILY,321.0672,55.0249,17.1381,1996-2025
2025,4,project_area,260.6585,UCSB-CHG/CHIRPS/DAILY,295.8380,-35.1795,-11.8915,1996-2025
2025,5,project_area,354.2945,UCSB-CHG/CHIRPS/DAILY,247.3949,106.8996,43.2101,1996-2025
2025,6,project_area,230.3382,UCSB-CHG/CHIRPS/DAILY,197.1824,33.1558,16.8148,1996-2025
2025,7,project_area,79.3736,UCSB-CHG/CHIRPS/DAILY,134.9247,-55.5511,-41.1719,1996-2025
2025,8,project_area,366.7799,UCSB-CHG/CHIRPS/DAILY,105.6728,261.1071,247.0902,1996-2025
2025,9,project_area,290.5039,UCSB-CHG/CHIRPS/DAILY,115.6745,174.8294,151.1391,1996-2025
2025,10,project_area,302.9828,UCSB-CHG/CHIRPS/DAILY,226.0494,76.9334,34.0339,1996-2025
2025,11,project_area,341.2799,UCSB-CHG/CHIRPS/DAILY,267.4471,73.8328,27.6065,1996-2025
2025,12,project_area,324.0910,UCSB-CHG/CHIRPS/DAILY,315.1390,8.9520,2.8407,1996-2025
