date,scope,period,rainfall_accum_mm,spi,spi_status,source
1998-08-01,project_area,SPI-6,1745.6016,1.3702,wet,CHIRPS v2 Final
1999-08-01,project_area,SPI-6,1316.3597,-0.0004,normal,CHIRPS v2 Final
2000-08-01,project_area,SPI-6,1489.9817,0.5851,normal,CHIRPS v2 Final
2001-08-01,project_area,SPI-6,1322.9542,0.0228,normal,CHIRPS v2 Final
2002-08-01,project_area,SPI-6,1083.9683,-0.8713,normal,CHIRPS v2 Final
2003-08-01,project_area,SPI-6,895.8320,-1.6747,severe_drought,CHIRPS v2 Final
2004-08-01,project_area,SPI-6,1105.2601,-0.7865,normal,CHIRPS v2 Final
2005-08-01,project_area,SPI-6,1081.6464,-0.8806,normal,CHIRPS v2 Final
2006-08-01,project_area,SPI-6,1262.6749,-0.1917,normal,CHIRPS v2 Final
2007-08-01,project_area,SPI-6,1577.3197,0.8627,normal,CHIRPS v2 Final
2008-08-01,project_area,SPI-6,1505.5981,0.6355,normal,CHIRPS v2 Final
2009-08-01,project_area,SPI-6,1089.2215,-0.8503,normal,CHIRPS v2 Final
2010-08-01,project_area,SPI-6,2123.7561,2.4044,extremely_wet,CHIRPS v2 Final
2011-08-01,project_area,SPI-6,1040.7949,-1.0467,moderate_dry,CHIRPS v2 Final
2012-08-01,project_area,SPI-6,1059.7444,-0.9691,normal,CHIRPS v2 Final
2013-08-01,project_area,SPI-6,1609.6399,0.9628,normal,CHIRPS v2 Final
2014-08-01,project_area,SPI-6,1366.9002,0.1751,normal,CHIRPS v2 Final
2015-08-01,project_area,SPI-6,1068.6115,-0.9331,normal,CHIRPS v2 Final
2016-08-01,project_area,SPI-6,1617.2171,0.9861,normal,CHIRPS v2 Final
2017-08-01,project_area,SPI-6,1433.8126,0.4009,normal,CHIRPS v2 Final
2018-08-01,project_area,SPI-6,1295.7374,-0.0732,normal,CHIRPS v2 Final
2019-08-01,project_area,SPI-6,1002.7111,-1.2055,moderate_dry,CHIRPS v2 Final
2020-08-01,project_area,SPI-6,1736.2179,1.3427,wet,CHIRPS v2 Final
2021-08-01,project_area,SPI-6,1519.0946,0.6788,normal,CHIRPS v2 Final
2022-08-01,project_area,SPI-6,1789.3388,1.4968,wet,CHIRPS v2 Final
2023-08-01,project_area,SPI-6,1200.8907,-0.4189,normal,CHIRPS v2 Final
2024-08-01,project_area,SPI-6,1433.9443,0.4014,normal,CHIRPS v2 Final
2025-08-01,project_area,SPI-6,1667.5368,1.1389,wet,CHIRPS v2 Final
1981-09-01,project_area,SPI-6,1177.5409,0.1911,normal,CHIRPS v2 Final
1982-09-01,project_area,SPI-6,543.6208,-2.0832,extreme_drought,CHIRPS v2 Final
1983-09-01,project_area,SPI-6,1261.9798,0.4239,normal,CHIRPS v2 Final
1984-09-01,project_area,SPI-6,1244.8890,0.3776,normal,CHIRPS v2 Final
1985-09-01,project_area,SPI-6,1493.7386,1.0140,wet,CHIRPS v2 Final
1986-09-01,project_area,SPI-6,1297.5005,0.5187,normal,CHIRPS v2 Final
1987-09-01,project_area,SPI-6,866.0638,-0.7796,normal,CHIRPS v2 Final
1988-09-01,project_area,SPI-6,1495.1323,1.0173,wet,CHIRPS v2 Final
1989-09-01,project_area,SPI-6,1303.2981,0.5340,normal,CHIRPS v2 Final
1990-09-01,project_area,SPI-6,913.1347,-0.6192,normal,CHIRPS v2 Final
1991-09-01,project_area,SPI-6,639.8105,-1.6479,severe_drought,CHIRPS v2 Final
1992-09-01,project_area,SPI-6,1162.2141,0.1477,normal,CHIRPS v2 Final
1993-09-01,project_area,SPI-6,1289.0513,0.4963,normal,CHIRPS v2 Final
1994-09-01,project_area,SPI-6,738.7215,-1.2458,moderate_dry,CHIRPS v2 Final
1995-09-01,project_area,SPI-6,1134.8888,0.0693,normal,CHIRPS v2 Final
1996-09-01,project_area,SPI-6,971.0727,-0.4293,normal,CHIRPS v2 Final
1997-09-01,project_area,SPI-6,545.9511,-2.0721,extreme_drought,CHIRPS v2 Final
1998-09-01,project_area,SPI-6,1665.5487,1.4138,wet,CHIRPS v2 Final
1999-09-01,project_area,SPI-6,1260.4880,0.4198,normal,CHIRPS v2 Final
2000-09-01,project_area,SPI-6,1333.6313,0.6134,normal,CHIRPS v2 Final
2001-09-01,project_area,SPI-6,1223.7185,0.3197,normal,CHIRPS v2 Final
2002-09-01,project_area,SPI-6,793.4804,-1.0390,moderate_dry,CHIRPS v2 Final
2003-09-01,project_area,SPI-6,754.4365,-1.1854,moderate_dry,CHIRPS v2 Final
2004-09-01,project_area,SPI-6,923.7543,-0.5838,normal,CHIRPS v2 Final
2005-09-01,project_area,SPI-6,874.5656,-0.7502,normal,CHIRPS v2 Final
2006-09-01,project_area,SPI-6,965.4123,-0.4475,normal,CHIRPS v2 Final
2007-09-01,project_area,SPI-6,1333.3637,0.6127,normal,CHIRPS v2 Final
2008-09-01,project_area,SPI-6,1263.9985,0.4293,normal,CHIRPS v2 Final
2009-09-01,project_area,SPI-6,769.6913,-1.1276,moderate_dry,CHIRPS v2 Final
2010-09-01,project_area,SPI-6,2214.2383,2.5361,extremely_wet,CHIRPS v2 Final
2011-09-01,project_area,SPI-6,810.8491,-0.9755,normal,CHIRPS v2 Final
2012-09-01,project_area,SPI-6,859.8320,-0.8013,normal,CHIRPS v2 Final
2013-09-01,project_area,SPI-6,1328.1517,0.5991,normal,CHIRPS v2 Final
2014-09-01,project_area,SPI-6,986.4557,-0.3802,normal,CHIRPS v2 Final
2015-09-01,project_area,SPI-6,799.8586,-1.0156,moderate_dry,CHIRPS v2 Final
2016-09-01,project_area,SPI-6,1523.2236,1.0846,wet,CHIRPS v2 Final
2017-09-01,project_area,SPI-6,1305.6266,0.5401,normal,CHIRPS v2 Final
2018-09-01,project_area,SPI-6,1081.1442,-0.0886,normal,CHIRPS v2 Final
2019-09-01,project_area,SPI-6,798.6410,-1.0201,moderate_dry,CHIRPS v2 Final
2020-09-01,project_area,SPI-6,1548.8009,1.1452,wet,CHIRPS v2 Final
2021-09-01,project_area,SPI-6,1528.3917,1.0969,wet,CHIRPS v2 Final
2022-09-01,project_area,SPI-6,1777.3478,1.6598,very_wet,CHIRPS v2 Final
2023-09-01,project_area,SPI-6,888.0146,-0.7041,normal,CHIRPS v2 Final
2024-09-01,project_area,SPI-6,1295.1998,0.5126,normal,CHIRPS v2 Final
2025-09-01,project_area,SPI-6,1581.9486,1.2228,wet,CHIRPS v2 Final
1981-10-01,project_area,SPI-6,1129.1914,0.2230,normal,CHIRPS v2 Final
1982-10-01,project_area,SPI-6,417.0619,-1.8513,severe_drought,CHIRPS v2 Final
1983-10-01,project_area,SPI-6,1333.0921,0.6376,normal,CHIRPS v2 Final
1984-10-01,project_area,SPI-6,1117.8927,0.1986,normal,CHIRPS v2 Final
1985-10-01,project_area,SPI-6,1401.0208,0.7663,normal,CHIRPS v2 Final
1986-10-01,project_area,SPI-6,1316.3446,0.6052,normal,CHIRPS v2 Final
1987-10-01,project_area,SPI-6,659.0370,-0.9765,normal,CHIRPS v2 Final
1988-10-01,project_area,SPI-6,1537.2262,1.0128,wet,CHIRPS v2 Final
1989-10-01,project_area,SPI-6,1412.0028,0.7868,normal,CHIRPS v2 Final
1990-10-01,project_area,SPI-6,872.1429,-0.3782,normal,CHIRPS v2 Final
1991-10-01,project_area,SPI-6,484.3783,-1.5778,severe_drought,CHIRPS v2 Final
1992-10-01,project_area,SPI-6,1160.9432,0.2906,normal,CHIRPS v2 Final
1993-10-01,project_area,SPI-6,1205.6647,0.3839,normal,CHIRPS v2 Final
1994-10-01,project_area,SPI-6,647.2831,-1.0132,moderate_dry,CHIRPS v2 Final
1995-10-01,project_area,SPI-6,1101.6420,0.1633,normal,CHIRPS v2 Final
1996-10-01,project_area,SPI-6,1249.5850,0.4732,normal,CHIRPS v2 Final
1997-10-01,project_area,SPI-6,241.8343,-2.7585,extreme_drought,CHIRPS v2 Final
1998-10-01,project_area,SPI-6,1660.1219,1.2232,wet,CHIRPS v2 Final
1999-10-01,project_area,SPI-6,1444.6214,0.8469,normal,CHIRPS v2 Final
2000-10-01,project_area,SPI-6,1295.7829,0.5650,normal,CHIRPS v2 Final
2001-10-01,project_area,SPI-6,1247.9537,0.4699,normal,CHIRPS v2 Final
2002-10-01,project_area,SPI-6,587.1274,-1.2086,moderate_dry,CHIRPS v2 Final
2003-10-01,project_area,SPI-6,747.7720,-0.7132,normal,CHIRPS v2 Final
2004-10-01,project_area,SPI-6,708.9485,-0.8256,normal,CHIRPS v2 Final
2005-10-01,project_area,SPI-6,814.7274,-0.5285,normal,CHIRPS v2 Final
2006-10-01,project_area,SPI-6,734.8526,-0.7501,normal,CHIRPS v2 Final
2007-10-01,project_area,SPI-6,1273.0310,0.5201,normal,CHIRPS v2 Final
2008-10-01,project_area,SPI-6,1317.3668,0.6071,normal,CHIRPS v2 Final
2009-10-01,project_area,SPI-6,733.3272,-0.7545,normal,CHIRPS v2 Final
2010-10-01,project_area,SPI-6,2352.4199,2.2540,extremely_wet,CHIRPS v2 Final
2011-10-01,project_area,SPI-6,840.3600,-0.4605,normal,CHIRPS v2 Final
2012-10-01,project_area,SPI-6,834.0821,-0.4770,normal,CHIRPS v2 Final
2013-10-01,project_area,SPI-6,1165.3999,0.3000,normal,CHIRPS v2 Final
2014-10-01,project_area,SPI-6,786.2214,-0.6058,normal,CHIRPS v2 Final
2015-10-01,project_area,SPI-6,478.1800,-1.6018,severe_drought,CHIRPS v2 Final
2016-10-01,project_area,SPI-6,1636.6192,1.1838,wet,CHIRPS v2 Final
2017-10-01,project_area,SPI-6,1207.9039,0.3885,normal,CHIRPS v2 Final
2018-10-01,project_area,SPI-6,948.4939,-0.1884,normal,CHIRPS v2 Final
2019-10-01,project_area,SPI-6,566.8326,-1.2777,moderate_dry,CHIRPS v2 Final
2020-10-01,project_area,SPI-6,1333.4851,0.6383,normal,CHIRPS v2 Final
2021-10-01,project_area,SPI-6,1711.5231,1.3083,wet,CHIRPS v2 Final
2022-10-01,project_area,SPI-6,1868.8156,1.5588,very_wet,CHIRPS v2 Final
2023-10-01,project_area,SPI-6,722.0759,-0.7871,normal,CHIRPS v2 Final
2024-10-01,project_area,SPI-6,1142.8458,0.2522,normal,CHIRPS v2 Final
2025-10-01,project_area,SPI-6,1624.2729,1.1629,wet,CHIRPS v2 Final
1981-11-01,project_area,SPI-6,1016.2536,-0.0515,normal,CHIRPS v2 Final
1982-11-01,project_area,SPI-6,405.8064,-2.0069,extreme_drought,CHIRPS v2 Final
1983-11-01,project_area,SPI-6,1062.1426,0.0575,normal,CHIRPS v2 Final
1984-11-01,project_area,SPI-6,1130.0623,0.2131,normal,CHIRPS v2 Final
1985-11-01,project_area,SPI-6,1410.3815,0.7970,normal,CHIRPS v2 Final
1986-11-01,project_area,SPI-6,1386.0154,0.7494,normal,CHIRPS v2 Final
1987-11-01,project_area,SPI-6,631.7053,-1.1318,moderate_dry,CHIRPS v2 Final
1988-11-01,project_area,SPI-6,1499.4134,0.9663,normal,CHIRPS v2 Final
1989-11-01,project_area,SPI-6,1390.3449,0.7579,normal,CHIRPS v2 Final
1990-11-01,project_area,SPI-6,735.6157,-0.8032,normal,CHIRPS v2 Final
1991-11-01,project_area,SPI-6,475.1990,-1.7074,severe_drought,CHIRPS v2 Final
1992-11-01,project_area,SPI-6,1165.5031,0.2919,normal,CHIRPS v2 Final
1993-11-01,project_area,SPI-6,1079.0763,0.0969,normal,CHIRPS v2 Final
1994-11-01,project_area,SPI-6,771.1164,-0.6983,normal,CHIRPS v2 Final
1995-11-01,project_area,SPI-6,1146.3748,0.2496,normal,CHIRPS v2 Final
1996-11-01,project_area,SPI-6,1383.4389,0.7444,normal,CHIRPS v2 Final
1997-11-01,project_area,SPI-6,373.2833,-2.1601,extreme_drought,CHIRPS v2 Final
1998-11-01,project_area,SPI-6,1676.7178,1.2850,wet,CHIRPS v2 Final
1999-11-01,project_area,SPI-6,1416.3977,0.8086,normal,CHIRPS v2 Final
2000-11-01,project_area,SPI-6,1362.4667,0.7030,normal,CHIRPS v2 Final
2001-11-01,project_area,SPI-6,1211.3511,0.3914,normal,CHIRPS v2 Final
2002-11-01,project_area,SPI-6,680.9077,-0.9719,normal,CHIRPS v2 Final
2003-11-01,project_area,SPI-6,919.9683,-0.2914,normal,CHIRPS v2 Final
2004-11-01,project_area,SPI-6,616.6080,-1.1826,moderate_dry,CHIRPS v2 Final
2005-11-01,project_area,SPI-6,998.4338,-0.0947,normal,CHIRPS v2 Final
2006-11-01,project_area,SPI-6,673.5094,-0.9954,normal,CHIRPS v2 Final
2007-11-01,project_area,SPI-6,1240.8154,0.4541,normal,CHIRPS v2 Final
2008-11-01,project_area,SPI-6,1469.1054,0.9094,normal,CHIRPS v2 Final
2009-11-01,project_area,SPI-6,837.3234,-0.5112,normal,CHIRPS v2 Final
2010-11-01,project_area,SPI-6,2322.1193,2.2902,extremely_wet,CHIRPS v2 Final
2011-11-01,project_area,SPI-6,1126.8777,0.2060,normal,CHIRPS v2 Final
2012-11-01,project_area,SPI-6,934.9729,-0.2529,normal,CHIRPS v2 Final
2013-11-01,project_area,SPI-6,1012.6005,-0.0603,normal,CHIRPS v2 Final
2014-11-01,project_area,SPI-6,748.3909,-0.7650,normal,CHIRPS v2 Final
2015-11-01,project_area,SPI-6,390.4351,-2.0781,extreme_drought,CHIRPS v2 Final
2016-11-01,project_area,SPI-6,1465.5404,0.9027,normal,CHIRPS v2 Final
2017-11-01,project_area,SPI-6,1218.5810,0.4069,normal,CHIRPS v2 Final
2018-11-01,project_area,SPI-6,775.5402,-0.6855,normal,CHIRPS v2 Final
2019-11-01,project_area,SPI-6,586.3810,-1.2870,moderate_dry,CHIRPS v2 Final
2020-11-01,project_area,SPI-6,1329.4917,0.6370,normal,CHIRPS v2 Final
2021-11-01,project_area,SPI-6,1712.6552,1.3469,wet,CHIRPS v2 Final
2022-11-01,project_area,SPI-6,1875.8038,1.6179,very_wet,CHIRPS v2 Final
2023-11-01,project_area,SPI-6,848.2554,-0.4813,normal,CHIRPS v2 Final
2024-11-01,project_area,SPI-6,1133.1506,0.2201,normal,CHIRPS v2 Final
2025-11-01,project_area,SPI-6,1611.2583,1.1700,wet,CHIRPS v2 Final
1981-12-01,project_area,SPI-6,1119.7304,-0.1384,normal,CHIRPS v2 Final
1982-12-01,project_area,SPI-6,625.5445,-1.8471,severe_drought,CHIRPS v2 Final
1983-12-01,project_area,SPI-6,1169.0656,0.0012,normal,CHIRPS v2 Final
1984-12-01,project_area,SPI-6,1421.8001,0.6608,normal,CHIRPS v2 Final
1985-12-01,project_area,SPI-6,1480.0341,0.8016,normal,CHIRPS v2 Final
1986-12-01,project_area,SPI-6,1270.2502,0.2757,normal,CHIRPS v2 Final
1987-12-01,project_area,SPI-6,790.0613,-1.1989,moderate_dry,CHIRPS v2 Final
1988-12-01,project_area,SPI-6,1658.1919,1.2111,wet,CHIRPS v2 Final
1989-12-01,project_area,SPI-6,1446.9387,0.7221,normal,CHIRPS v2 Final
1990-12-01,project_area,SPI-6,975.5450,-0.5718,normal,CHIRPS v2 Final
1991-12-01,project_area,SPI-6,769.3247,-1.2751,moderate_dry,CHIRPS v2 Final
1992-12-01,project_area,SPI-6,1356.0969,0.4974,normal,CHIRPS v2 Final
1993-12-01,project_area,SPI-6,1027.4117,-0.4112,normal,CHIRPS v2 Final
1994-12-01,project_area,SPI-6,851.1719,-0.9821,normal,CHIRPS v2 Final
1995-12-01,project_area,SPI-6,1167.5349,-0.0031,normal,CHIRPS v2 Final
1996-12-01,project_area,SPI-6,1433.3046,0.6890,normal,CHIRPS v2 Final
